文番号,文字数,単語数,平均単語長,感情スコア
385,110,68,1.588235294117647,0.02457411887692551
386,42,29,1.4482758620689655,0.9911017080008346
387,27,21,1.2857142857142858,0.7106206024777465
388,31,24,1.2916666666666667,0.5185867453569615
389,41,26,1.5769230769230769,0.04641542082743211
390,38,27,1.4074074074074074,0.9675069858656394
391,44,31,1.4193548387096775,0.9851295331828002
392,50,36,1.3888888888888888,0.7492796793223448
393,60,42,1.4285714285714286,0.9993324962856837
394,104,67,1.5223880597014925,0.9998174258531306
395,40,25,1.6,0.9463207045089955
396,38,22,1.7272727272727273,0.6687134701795917
397,38,27,1.4074074074074074,0.9718168343515151
398,118,80,1.45,0.9990296785398904
399,72,47,1.5319148936170213,0.10688718107321116
400,106,69,1.536231884057971,0.8941012385670252
401,108,69,1.565217391304348,0.028828357383272496
402,130,82,1.5609756097560976,0.5330982909810014
403,151,105,1.438095238095238,0.002159408326880885
404,107,70,1.5285714285714285,0.7641644108050158
405,77,50,1.5,0.0016183717696554023
406,36,27,1.2962962962962963,0.17621190429769085
407,134,92,1.4565217391304348,0.002403604543604332
408,48,30,1.5333333333333334,0.10794855019132543
409,96,60,1.6,0.3155519949147416
410,42,28,1.5,0.5493576818042826
411,28,17,1.6470588235294117,0.6642611524732538
412,97,64,1.515625,0.0669134213885132
413,72,56,1.2857142857142858,0.0018453883471551968
414,55,37,1.4864864864864864,0.029846363943738963
415,20,16,1.25,0.05891379689797116
416,14,11,1.2727272727272727,0.08820041669208245
417,32,19,1.6842105263157894,0.4657537454098035
418,97,66,1.4545454545454546,0.00045186604443370193
419,90,64,1.40625,0.004361802256205527
420,30,24,1.25,0.34301773036165606
421,27,19,1.4210526315789473,0.3829760284315541
422,25,18,1.3333333333333333,0.0348300333134538
423,22,13,1.5384615384615385,0.23796288599960425
424,45,29,1.5517241379310345,0.9877274084860184
425,34,20,1.7,0.09734327777649521
426,36,27,1.3333333333333333,0.20443930125963727
427,90,59,1.5254237288135593,0.567490097914728
428,69,46,1.4565217391304348,0.01378431328338836
429,35,27,1.2962962962962963,0.2149032514280561
430,22,18,1.2222222222222223,0.2855039950332776
431,66,45,1.4222222222222223,0.9751203931318323
432,17,10,1.7,0.3641373689634153
433,29,16,1.8125,0.08472963505613995
434,30,20,1.5,0.07453027806897916
435,44,28,1.5714285714285714,0.28527102856427866
436,66,47,1.4042553191489362,0.06700830011174208
437,31,22,1.4090909090909092,0.199580536538136
438,69,41,1.6829268292682926,0.007845683630325562
439,25,14,1.7857142857142858,0.6056106318602487
440,67,42,1.5952380952380953,0.030024622666934286
441,35,23,1.434782608695652,0.7565506370750106
