文番号,文字数,単語数,平均単語長,主成分1,主成分2
210,28,19,1.4736842105263157,-0.7141431082435823,-0.40722894708369645
211,31,24,1.2916666666666667,-0.394225253037758,-1.4275936690049373
212,23,16,1.4375,-0.8633371350050337,-0.635540148995786
213,36,19,1.894736842105263,-0.8611272365495273,2.0226437748418507
214,21,15,1.4,-0.9014457505930358,-0.8579465409837982
215,53,36,1.4722222222222223,0.21417027181193482,-0.3032238587168235
216,46,35,1.3142857142857145,0.1685266456610018,-1.2297409708464067
217,44,31,1.3870967741935485,-0.029389936435470537,-0.8276215811642619
218,70,50,1.4,0.9625218164331608,-0.6349101998064015
219,75,47,1.5957446808510638,0.8346270579098231,0.49395286331584476
220,68,47,1.446808510638298,0.8103751850236975,-0.37951053304960664
221,38,24,1.5833333333333333,-0.46937981543767787,0.26048145032863657
222,146,101,1.4455445544554455,3.730970127210283,-0.034576714602715254
223,28,20,1.4,-0.6351646695892933,-0.8260842065298846
224,32,18,1.6666666666666667,-0.8030766832079944,0.7058928986448888
225,28,20,1.4,-0.6351646695892933,-0.8260842065298846
226,30,21,1.4285714285714286,-0.5908376390166719,-0.6546362231215106
227,108,73,1.452054794520548,2.2572014203047144,-0.17183240442196798
228,126,92,1.3695652173913044,3.1692874501470225,-0.5503418051201261
229,58,41,1.4146341463414631,0.4839934791206309,-0.6067317182106586
230,51,35,1.457142857142857,0.1604465252625547,-0.39766802471596596
231,87,57,1.5263157894736843,1.378978029927863,0.1547277575087193
232,120,84,1.4285714285714286,2.797213208598449,-0.24714498181395522
233,45,26,1.7307692307692308,-0.38876275729284604,1.1287537020439764
234,36,23,1.565217391304348,-0.5209887000792455,0.14870650189468146
235,34,25,1.36,-0.3593079933255488,-1.0258632242839953
236,57,41,1.3902439024390243,0.48269746496362037,-0.7492828575653055
237,56,41,1.3658536585365857,0.4814014508066096,-0.8918339969199509
238,16,9,1.7777777777777777,-1.4219292219850452,1.2713076631522224
239,11,9,1.2222222222222223,-1.126420142297518,-1.916176168437067
240,106,75,1.413333333333333,2.302923958945933,-0.3961529556199945
241,36,24,1.5,-0.44790708332341495,-0.22182572662381297
242,67,42,1.5952380952380951,0.5504158909064556,0.45585158986630875
243,51,37,1.3783783783783785,0.2706233309055266,-0.8438323988234537
244,101,70,1.4428571428571428,2.0526464601352354,-0.25281745549474544
245,15,9,1.6666666666666667,-1.36282740604754,0.6338108968343653
246,41,30,1.3666666666666667,-0.09766999551032231,-0.9559519447572852
247,85,56,1.5178571428571428,1.3206432013898879,0.09807029447974161
248,25,17,1.4705882352941178,-0.822155890836396,-0.43831320595300693
249,16,11,1.4545454545454546,-1.1414897355248679,-0.5701182488885717
250,36,22,1.6363636363636365,-0.598199541014586,0.5530767250431333
251,31,18,1.7222222222222223,-0.8600519469833866,1.0196197591469505
252,49,31,1.5806451612903225,-0.0727746064240156,0.29376362012799834
253,63,44,1.431818181818182,0.6464204148848286,-0.48686100882391353
254,89,64,1.390625,1.7036684366548343,-0.6012106014068098
255,44,30,1.4666666666666666,-0.11246753172478179,-0.3751747233515989
256,23,15,1.5333333333333334,-0.9577416066211681,-0.09027227598537144
257,37,25,1.48,-0.38803477910555606,-0.3309391676599187
258,21,15,1.4,-0.9014457505930358,-0.8579465409837982
259,30,21,1.4285714285714286,-0.5908376390166719,-0.6546362231215106
260,20,12,1.6666666666666667,-1.1884324343484198,0.6556064429237098
261,76,46,1.608695652173913,0.8162299454160868,0.5695304521514191
262,37,29,1.2413793103448276,-0.11120381909518254,-1.6860861451041411
263,57,37,1.5405405405405406,0.26738089278980587,0.10176857195312708
264,64,44,1.4545454545454546,0.6488746260677993,-0.353801014304499
265,28,21,1.3333333333333333,-0.5610736869229161,-1.2048879448468126
266,32,21,1.5238095238095235,-0.620601591110427,-0.10438450139621125
267,36,21,1.7142857142857142,-0.6801294952979382,0.9961189420543926
268,27,16,1.6875,-0.964321139090008,0.8046860183190735
269,35,19,1.8421052631578947,-0.8427542205112842,1.718909684601157
270,31,22,1.4090909090909092,-0.5313271334888271,-0.7607848112948007
271,69,46,1.5,0.7639520616094561,-0.07426655512985296
272,70,47,1.4893617021276595,0.8173042915625905,-0.12994956265947838
273,44,27,1.5925925925925926,-0.2831506665181816,0.3384704352347772
274,67,40,1.675,0.439544415481418,0.9077086150223346
275,51,34,1.5,0.10293798255516272,-0.15475337594474026
276,33,23,1.434782608695652,-0.4849944797433001,-0.605772425278122
277,90,69,1.289855072463768,1.930434567899735,-1.1645627732527366
278,27,18,1.5,-0.7784141228505616,-0.26206913703125667
279,7,4,1.75,-1.7054299307788248,1.0742126940191656
280,71,49,1.4489795918367347,0.9190321216074085,-0.3537049605236066
281,53,35,1.4857142857142858,0.17711340505395823,-0.2279057537186318
282,43,29,1.4827586206896552,-0.16961802855626948,-0.28836583632368357
283,45,30,1.4333333333333331,-0.07096921191110915,-0.5620717669443382
284,36,30,1.2,-0.07300743515288956,-1.9239139804334304
285,77,53,1.4528301886792452,1.1366883517390578,-0.30489934808825286
